epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.7105,0.65741,0.45588,1,0.74577,0.00026672,0.00026672,0.00026672
2,36.0591,0.48217,0.91176,1,0.26611,0.000531956,0.000531956,0.000531956
3,52.3325,0.2992,1,1,0.01711,0.000778489,0.000778489,0.000778489
4,69.0052,0.17924,1,1,0.00481,0.00100632,0.00100632,0.00100632
5,86.4318,0.14314,1,1,0.00368,0.00121544,0.00121544,0.00121544
6,103.783,0.12608,1,1,0.00961,0.00139195,0.00139195,0.00139195
7,120.33,0.12644,1,1,7e-05,0.00133693,0.00133693,0.00133693
8,136.752,0.08717,1,1,3e-05,0.00128192,0.00128192,0.00128192
9,152.163,0.06193,1,1,5e-05,0.00122691,0.00122691,0.00122691
10,168.504,0.12189,1,1,0.00049,0.0011719,0.0011719,0.0011719
11,184.057,0.14095,1,1,0.00702,0.00111689,0.00111689,0.00111689
12,200.567,0.10721,0.98529,1,0.03437,0.00106188,0.00106188,0.00106188
13,215.913,0.10487,1,1,0.00065,0.00100687,0.00100687,0.00100687
